"ID";"Name";"global_id";"IsNetObject";"OperatingCompany";"TypeObject";"AdmArea";"District";"Address";"PublicPhone";"SeatsCount";"SocialPrivileges";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Код";"Наименование";"global_id";"Является сетевым";"Название управляющей компании";"Вид объекта";"Административный округ по адресу";"Район";"Адрес";"Контактный телефон";"Число посадочных мест";"Показатель социальных льгот";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"00283465";"KFC";"1075023387";"да";"KFC";"предприятие быстрого обслуживания";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, Крюковская площадь, дом 1";"nested data";"20";"нет";"37.1751350000000040";"55.9826778238855810";"{coordinates=[37.175135, 55.982677824], type=Point}";"{coordinates=[37.175135, 55.982677824], type=Point}";
"000020792";"Ростикс KFC";"1075023389";"да";"Ростикс KFC";"предприятие быстрого обслуживания";"Южный административный округ";"район Чертаново Северное";"город Москва, Кировоградская улица, дом 14";"nested data";"0";"нет";"37.6059504972532000";"55.6228573506133000";"{coordinates=[37.605950497, 55.622857351], type=Point}";"{coordinates=[37.605950497, 55.622857351], type=Point}";
"00136446";"KFC";"1075023390";"да";"KFC";"предприятие быстрого обслуживания";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Покрышкина, дом 4";"nested data";"0";"нет";"37.4815289999999950";"55.6649457310830580";"{coordinates=[37.481529, 55.664945731], type=Point}";"{coordinates=[37.481529, 55.664945731], type=Point}";
"00288636";"KFC";"1075023391";"да";"KFC";"кафе";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Багратионовский проезд, дом 5";"nested data";"124";"нет";"37.5076209999999930";"55.7435597538025930";"{coordinates=[37.507621, 55.743559754], type=Point}";"{coordinates=[37.507621, 55.743559754], type=Point}";
"00288409";"KFC";"1075023392";"да";"KFC";"предприятие быстрого обслуживания";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Варшавское шоссе, дом 87Б";"nested data";"64";"нет";"37.6206190000000050";"55.6536947278445520";"{coordinates=[37.620619, 55.653694728], type=Point}";"{coordinates=[37.620619, 55.653694728], type=Point}";
"00288761";"KFC";"1075023395";"да";"KFC";"предприятие быстрого обслуживания";"Южный административный округ";"район Царицыно";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Луганская улица, дом 10";"nested data";"42";"нет";"37.6677079999999980";"55.6224377188645530";"{coordinates=[37.667708, 55.622437719], type=Point}";"{coordinates=[37.667708, 55.622437719], type=Point}";
"00288842";"KFC";"1075023396";"да";"KFC";"предприятие быстрого обслуживания";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Матвеевская улица, дом 2";"nested data";"30";"нет";"37.4792210000000240";"55.7054497427688910";"{coordinates=[37.479221, 55.705449743], type=Point}";"{coordinates=[37.479221, 55.705449743], type=Point}";
"00288687";"KFC";"1075023398";"да";"KFC";"предприятие быстрого обслуживания";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6";"nested data";"10";"нет";"37.5276300000000020";"55.6922797389645650";"{coordinates=[37.52763, 55.692279739], type=Point}";"{coordinates=[37.52763, 55.692279739], type=Point}";
"00284194";"Vasilchuki Chaihona № 1";"1075023418";"нет";"";"ресторан";"Северный административный округ";"Войковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 16А, строение 4";"nested data";"44";"нет";"37.4972020000000010";"55.8234127770431460";"{coordinates=[37.497202, 55.823412777], type=Point}";"{coordinates=[37.497202, 55.823412777], type=Point}";
"00286292";"Милти";"1075023420";"да";"Милти";"предприятие быстрого обслуживания";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Семёновская площадь, дом 7";"nested data";"6";"нет";"37.7202750000000010";"55.7835447654193860";"{coordinates=[37.720275, 55.783544765], type=Point}";"{coordinates=[37.720275, 55.783544765], type=Point}";
"00288666";"Милти";"1075023424";"да";"Милти";"кафетерий";"Восточный административный округ";"район Преображенское";"Преображенская площадь, дом 8, помещение 95Н/26";"nested data";"4";"нет";"37.7127449999999840";"55.7950027687558500";"{coordinates=[37.712745, 55.795002769], type=Point}";"{coordinates=[37.712745, 55.795002769], type=Point}";
"00286754";"Прайм-кафе";"1075023448";"да";"Прайм-кафе";"кафе";"Центральный административный округ";"Пресненский район";"город Москва, Пресненская набережная, дом 12";"nested data";"10";"нет";"37.5375795446104730";"55.7496728685480110";"{coordinates=[37.537579545, 55.749672869], type=Point}";"{coordinates=[37.537579545, 55.749672869], type=Point}";
"00288601";"Даблби";"1075023465";"да";"Дабл Би";"кафе";"Центральный административный округ";"район Якиманка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Большой Толмачёвский переулок, дом 4, строение 1";"nested data";"12";"нет";"37.6229360000000100";"55.7406587529613730";"{coordinates=[37.622936, 55.740658753], type=Point}";"{coordinates=[37.622936, 55.740658753], type=Point}";
"00283290";"Cine Wine";"1075023474";"нет";"";"кафе";"Северный административный округ";"район Аэропорт";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Академика Ильюшина, дом 12";"nested data";"20";"нет";"37.5451930000000190";"55.8055537718311780";"{coordinates=[37.545193, 55.805553772], type=Point}";"{coordinates=[37.545193, 55.805553772], type=Point}";
"00284911";"Мята Lounge";"1075023480";"да";"Мята Lounge";"бар";"Северо-Восточный административный округ";"район Бибирево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Костромская улица, дом 17";"nested data";"25";"нет";"37.6009429999999940";"55.8847417950038050";"{coordinates=[37.600943, 55.884741795], type=Point}";"{coordinates=[37.600943, 55.884741795], type=Point}";
"00287609";"Мята Lounge";"1075023488";"да";"Мята Lounge";"бар";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Давыдковская улица, дом 8, корпус 1";"nested data";"45";"нет";"37.4744889999999980";"55.7223107476459060";"{coordinates=[37.474489, 55.722310748], type=Point}";"{coordinates=[37.474489, 55.722310748], type=Point}";
"00288784";"Кофейня После Обсудим";"1075023496";"нет";"";"кафе";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большой Тишинский переулок, дом 45";"nested data";"7";"нет";"37.5729734282954340";"55.7691177856622530";"{coordinates=[37.572973428, 55.769117786], type=Point}";"{coordinates=[37.572973428, 55.769117786], type=Point}";
"00288327";"Шоколадница";"1075023552";"да";"Шоколадница";"кафе";"Южный административный округ";"район Москворечье-Сабурово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 26";"nested data";"60";"нет";"37.6461742583712040";"55.6532873310253820";"{coordinates=[37.646174258, 55.653287331], type=Point}";"{coordinates=[37.646174258, 55.653287331], type=Point}";
"000071756";"Шоколадница";"1075023553";"да";"Шоколадница";"кафе";"Северо-Восточный административный округ";"район Марьина Роща";"город Москва, Шереметьевская улица, дом 6, корпус 1";"nested data";"71";"нет";"37.6170177453354100";"55.7954289769710600";"{coordinates=[37.617017745, 55.795428977], type=Point}";"{coordinates=[37.617017745, 55.795428977], type=Point}";
"00289102";"Росинка";"1078558611";"нет";"";"столовая";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 45, корпус В";"nested data";"32";"нет";"37.5954320000000020";"55.7848247657919460";"{coordinates=[37.595432, 55.784824766], type=Point}";"{coordinates=[37.595432, 55.784824766], type=Point}";
"00289103";"Coffeeshop Company";"1078558612";"да";"Coffeeshop Company";"ресторан";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2";"nested data";"20";"нет";"37.5655769999999980";"55.7445977541036510";"{coordinates=[37.565577, 55.744597754], type=Point}";"{coordinates=[37.565577, 55.744597754], type=Point}";
"00289126";"Прайм стар";"1078558618";"да";"Прайм стар";"кафетерий";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Коровий Вал, дом 5";"nested data";"14";"нет";"37.6203960000000070";"55.7288577495416180";"{coordinates=[37.620396, 55.72885775], type=Point}";"{coordinates=[37.620396, 55.72885775], type=Point}";
"00289135";"Додо пицца";"1078558622";"да";"Додо Пицца";"кафе";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Старая Басманная улица, дом 14/2, строение 4";"nested data";"16";"нет";"37.6600990000000000";"55.7652150000000000";"{coordinates=[37.660099, 55.765215], type=Point}";"{coordinates=[37.660099, 55.765215], type=Point}";
"00289138";"The Maple bar";"1078558627";"нет";"";"ресторан";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 50";"nested data";"38";"нет";"37.6742700000000000";"55.7748107628783880";"{coordinates=[37.67427, 55.774810763], type=Point}";"{coordinates=[37.67427, 55.774810763], type=Point}";
"00289143";"Буква Ю";"1078558629";"нет";"";"бар";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 24/7, строение 1";"nested data";"27";"нет";"37.6364840000000030";"55.7625277593082130";"{coordinates=[37.636484, 55.762527759], type=Point}";"{coordinates=[37.636484, 55.762527759], type=Point}";
"00289171";"COFFEE LIKE";"1078558644";"нет";"";"кафе";"Центральный административный округ";"Красносельский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Краснопрудная улица, дом 26";"nested data";"5";"нет";"37.6669570000000040";"55.7794777642359280";"{coordinates=[37.666957, 55.779477764], type=Point}";"{coordinates=[37.666957, 55.779477764], type=Point}";
